state_id,cluster_id,state,embedding
245,6,"('HelpSeek', 'ChartLogic', 'ChartLogic')",-0.8051735162734985;0.329804390668869
246,11,"('HelpSeek', 'ChartLogic', 'DataBind')",-0.7931922078132629;0.0794733464717865
247,15,"('HelpSeek', 'ChartLogic', 'DataParse')",-0.8058863878250122;-0.32022759318351746
248,10,"('HelpSeek', 'ChartLogic', 'ErrorHandle')",-0.866499662399292;0.022298285737633705
249,7,"('HelpSeek', 'ChartLogic', 'HelpSeek')",-0.7985476851463318;0.23364251852035522
250,4,"('HelpSeek', 'ChartLogic', 'ParamAdjust')",-0.6781265139579773;0.3699386715888977
251,3,"('HelpSeek', 'ChartLogic', 'SampleExplore')",-0.6962354183197021;-0.26041343808174133
252,5,"('HelpSeek', 'ChartLogic', 'SessionInit')",-0.6402697563171387;-0.06630542129278183
253,18,"('HelpSeek', 'ChartLogic', 'StyleEdit')",-0.8062900900840759;0.2955555319786072
254,8,"('HelpSeek', 'DataBind', 'ChartLogic')",-0.7622955441474915;0.2498423010110855
255,9,"('HelpSeek', 'DataBind', 'DataBind')",-0.7573513388633728;-0.44386717677116394
256,19,"('HelpSeek', 'DataBind', 'DataParse')",-0.7024051547050476;-0.3952815532684326
257,1,"('HelpSeek', 'DataBind', 'ErrorHandle')",-0.7021281719207764;-0.34905722737312317
258,14,"('HelpSeek', 'DataBind', 'HelpSeek')",-0.8631322383880615;0.08732949197292328
259,3,"('HelpSeek', 'DataBind', 'SampleExplore')",-0.7881604433059692;0.1625189185142517
260,5,"('HelpSeek', 'DataBind', 'SessionInit')",-0.5718613266944885;-0.08599691838026047
261,17,"('HelpSeek', 'DataBind', 'StyleEdit')",-0.7426497340202332;0.14045922458171844
262,7,"('HelpSeek', 'DataParse', 'ChartLogic')",-0.7984800338745117;0.26307153701782227
263,13,"('HelpSeek', 'DataParse', 'DataBind')",-0.6880291700363159;-0.3860720694065094
264,13,"('HelpSeek', 'DataParse', 'DataParse')",-0.783381998538971;-0.3460578918457031
265,1,"('HelpSeek', 'DataParse', 'ErrorHandle')",-0.8220819234848022;-0.35429704189300537
266,15,"('HelpSeek', 'DataParse', 'HelpSeek')",-0.8640457391738892;-0.11236324906349182
267,4,"('HelpSeek', 'DataParse', 'ParamAdjust')",-0.6281778812408447;0.35998815298080444
268,3,"('HelpSeek', 'DataParse', 'SampleExplore')",-0.7157571315765381;-0.25911369919776917
269,5,"('HelpSeek', 'DataParse', 'SessionInit')",-0.7102529406547546;-0.08447711169719696
270,18,"('HelpSeek', 'DataParse', 'StyleEdit')",-0.7743335962295532;0.15093673765659332
271,7,"('HelpSeek', 'ErrorHandle', 'ChartLogic')",-0.7386518716812134;0.28133222460746765
272,8,"('HelpSeek', 'ErrorHandle', 'DataBind')",-0.8397204875946045;-0.23204158246517181
273,19,"('HelpSeek', 'ErrorHandle', 'DataParse')",-0.8402127027511597;-0.25459352135658264
274,8,"('HelpSeek', 'ErrorHandle', 'ErrorHandle')",-0.8910089731216431;-0.042804449796676636
275,14,"('HelpSeek', 'ErrorHandle', 'HelpSeek')",-0.8971014022827148;0.07668163627386093
276,4,"('HelpSeek', 'ErrorHandle', 'ParamAdjust')",-0.6281778812408447;0.35998815298080444
277,10,"('HelpSeek', 'ErrorHandle', 'SampleExplore')",-0.830896258354187;0.1055440679192543
278,0,"('HelpSeek', 'ErrorHandle', 'SessionInit')",-0.7312799692153931;-0.0718425065279007
279,18,"('HelpSeek', 'ErrorHandle', 'StyleEdit')",-0.7867892980575562;0.2481158971786499
